dispenser,bottle,time,fill_level_grams,recipe
blue,1272,1718711814,0.0,21
blue,1273,1718711818,0.0,21
blue,1274,1718711822,0.0,21
blue,1275,1718711826,0.0,21
blue,1276,1718711830,0.0,21
blue,1277,1718711834,0.0,21
blue,1278,1718711838,0.0,21
blue,1279,1718711842,0.0,21
blue,1280,1718711846,0.0,21
blue,1281,1718711850,0.0,21
blue,1282,1718711854,800.0,21
blue,1283,1718711858,779.8152135689414,21
blue,1284,1718711862,759.5790334928769,21
blue,1285,1718711866,739.6637009940874,21
blue,1286,1718711870,719.8125565597919,21
blue,1287,1718711874,699.3024035250627,21
blue,1288,1718711878,679.219722228767,21
blue,1289,1718711882,659.6283425173386,21
blue,1290,1718711886,638.9121748632655,21
blue,1291,1718711890,618.8494885858349,21
blue,1292,1718711894,598.4171713974795,21
blue,1293,1718711898,578.3297917153328,21
blue,1294,1718711902,558.3953027912384,21
blue,1295,1718711906,538.417664809549,21
blue,1296,1718711910,518.3702226163019,21
blue,1297,1718711914,498.02065342409645,21
blue,1298,1718711918,478.1556328658771,21
blue,1299,1718711922,458.0624520569463,21
blue,1300,1718711926,437.9659042309409,21
blue,1301,1718711930,418.063849662398,21
blue,1302,1718711934,398.6753242831326,21
blue,1303,1718711938,378.34351123819994,21
blue,1304,1718711942,358.34966431710217,21
blue,1305,1718711946,337.9949623158836,21
blue,1306,1718711950,318.0905477678587,21
blue,1307,1718711954,297.8893266753383,21
blue,1308,1718711958,278.06120241005124,21
blue,1309,1718711962,258.19191172264584,21
blue,1310,1718711966,238.34591228365994,21
blue,1311,1718711970,217.8165434562901,21
blue,1312,1718711974,197.62025557245528,21
blue,1313,1718711978,177.44030628171086,21
blue,1314,1718711982,157.37759326077833,21
blue,1315,1718711986,137.20197887785628,21
blue,1316,1718711990,117.26271313646038,21
blue,1317,1718711994,97.2216470997684,21
blue,1318,1718711998,77.2010077528257,21
blue,1319,1718712002,57.06845514617356,21
blue,1320,1718712006,36.972400082480675,21
blue,1321,1718712010,17.277322312807673,21
blue,1322,1718712014,0.0,21
blue,1323,1718712018,0.0,21
blue,1324,1718712022,0.0,21
blue,1325,1718712026,0.0,21
blue,1326,1718712030,0.0,21
blue,1327,1718712034,0.0,21
blue,1328,1718712038,0.0,21
blue,1329,1718712042,0.0,21
blue,1330,1718712046,0.0,21
blue,1331,1718712050,0.0,21
blue,1332,1718712054,0.0,21
blue,1333,1718712058,0.0,21
blue,1334,1718712062,0.0,21
blue,1335,1718712066,0.0,21
blue,1336,1718712070,0.0,21
