dispenser,bottle,time,fill_level_grams,recipe
red,1273,1718711814,0.0,21
red,1274,1718711818,0.0,21
red,1275,1718711822,0.0,21
red,1276,1718711826,0.0,21
red,1277,1718711830,0.0,21
red,1278,1718711834,0.0,21
red,1279,1718711838,0.0,21
red,1280,1718711842,0.0,21
red,1281,1718711846,0.0,21
red,1282,1718711850,0.0,21
red,1283,1718711854,0.0,21
red,1284,1718711858,0.0,21
red,1285,1718711862,0.0,21
red,1286,1718711866,0.0,21
red,1287,1718711870,0.0,21
red,1288,1718711874,0.0,21
red,1289,1718711878,0.0,21
red,1290,1718711882,0.0,21
red,1291,1718711886,0.0,21
red,1292,1718711890,0.0,21
red,1293,1718711894,0.0,21
red,1294,1718711898,0.0,21
red,1295,1718711902,0.0,21
red,1296,1718711906,0.0,21
red,1297,1718711910,0.0,21
red,1298,1718711914,0.0,21
red,1299,1718711918,0.0,21
red,1300,1718711922,0.0,21
red,1301,1718711926,0.0,21
red,1302,1718711930,0.0,21
red,1303,1718711934,0.0,21
red,1304,1718711938,0.0,21
red,1305,1718711942,0.0,21
red,1306,1718711946,0.0,21
red,1307,1718711950,0.0,21
red,1308,1718711954,0.0,21
red,1309,1718711958,0.0,21
red,1310,1718711962,0.0,21
red,1311,1718711966,0.0,21
red,1312,1718711970,0.0,21
red,1313,1718711974,800.0,21
red,1314,1718711978,790.413558402043,21
red,1315,1718711982,780.6730825681648,21
red,1316,1718711986,770.6072441757185,21
red,1317,1718711990,760.6456030226767,21
red,1318,1718711994,749.759075104601,21
red,1319,1718711998,739.9496196283038,21
red,1320,1718712002,729.8772963904557,21
red,1321,1718712006,719.6680411864853,21
red,1322,1718712010,709.9453931816754,21
red,1323,1718712014,700.0033843769122,21
red,1324,1718712018,689.7845300254857,21
red,1325,1718712022,679.8148934877821,21
red,1326,1718712026,670.5637920770979,21
red,1327,1718712030,660.7549055806392,21
red,1328,1718712034,650.5281507698406,21
red,1329,1718712038,640.8775886172322,21
red,1330,1718712042,630.5640804946626,21
red,1331,1718712046,620.5581171071973,21
red,1332,1718712050,610.4843508199148,21
red,1333,1718712054,600.7692636981957,21
red,1334,1718712058,590.4288066681843,21
red,1335,1718712062,580.9235170392305,21
red,1336,1718712066,571.060486460106,21
red,1337,1718712070,562.2938908806887,21
red,1338,1718712074,552.1764729743629,21
red,1339,1718712078,542.161566708475,21
red,1340,1718712082,532.3206624140274,21
red,1341,1718712086,522.2145488688968,21
red,1342,1718712090,512.0886495645495,21
red,1343,1718712094,502.37994459148763,21
red,1344,1718712098,493.07587075596086,21
red,1345,1718712102,483.11035022578136,21
red,1346,1718712106,472.68397799771174,21
red,1347,1718712110,463.32625369226747,21
red,1348,1718712114,453.0445630127047,21
red,1349,1718712118,442.7821137915974,21
red,1350,1718712122,432.6136961085765,21
red,1351,1718712126,422.7820408603068,21
red,1352,1718712130,413.09585708446735,21
red,1353,1718712134,403.5495410452616,21
red,1354,1718712138,393.79772599195894,21
red,1355,1718712142,383.52401699571334,21
red,1356,1718712146,373.4949383621545,21
red,1357,1718712150,363.4110792183421,21
red,1358,1718712154,353.2088084365965,21
red,1359,1718712158,343.6884344007833,21
red,1360,1718712162,333.7616456240504,21
red,1361,1718712166,323.470420007833,21
red,1362,1718712170,313.51619586281294,21
red,1363,1718712174,303.33809054248496,21
red,1364,1718712178,293.7361587808046,21
red,1365,1718712182,284.4281346271436,21
red,1366,1718712186,274.6092754377071,21
red,1367,1718712190,264.685901853575,21
red,1368,1718712194,254.8091937455716,21
red,1369,1718712198,245.3714602044621,21
red,1370,1718712202,235.39991394927387,21
red,1371,1718712206,225.3669512659777,21
red,1372,1718712210,215.25526954069957,21
red,1373,1718712214,204.9001075916223,21
red,1374,1718712218,194.52426246312498,21
red,1375,1718712222,184.50209555578874,21
red,1376,1718712226,174.52768656101034,21
red,1377,1718712230,164.40957524937303,21
red,1378,1718712234,154.13240394371465,21
red,1379,1718712238,143.74161207598286,21
red,1380,1718712242,133.7519835330152,21
red,1381,1718712246,124.1520411475793,21
red,1382,1718712250,114.49417793400202,21
red,1383,1718712254,104.83982426095366,21
red,1384,1718712258,94.63022611327548,21
red,1385,1718712262,85.1528835211207,21
red,1386,1718712266,74.94195642368214,21
red,1387,1718712270,65.06462998570939,21
red,1388,1718712274,55.72974067815388,21
red,1389,1718712278,45.54792996289572,21
red,1390,1718712282,35.013076901472864,21
red,1391,1718712286,24.532155628555707,21
red,1392,1718712290,14.390272649643588,21
red,1393,1718712294,4.669236567013261,21
red,1394,1718712298,0.0,21
red,1395,1718712302,0.0,21
red,1,1718712496,790.0071151992515,21
red,2,1718712500,780.164893697048,21
red,3,1718712504,770.5058026518204,21
red,4,1718712508,761.0044576160562,21
red,5,1718712512,751.2587813960005,21
red,6,1718712516,741.7049560344013,21
red,7,1718712520,731.4844865848394,21
red,8,1718712524,721.7275631485828,21
red,9,1718712528,712.0112980996615,21
red,10,1718712532,701.7079565899927,21
red,11,1718712536,691.7891222563275,21
red,12,1718712540,681.9603291332311,21
red,13,1718712544,671.7958616437639,21
red,14,1718712548,662.0002868490174,21
red,15,1718712552,651.7578869586534,21
red,16,1718712556,641.35109551418,21
red,17,1718712560,631.2964458287935,21
red,18,1718712564,621.3295509705475,21
red,19,1718712568,611.3352296154791,21
red,20,1718712572,600.9331160738468,21
red,21,1718712576,590.8769386008047,21
red,22,1718712580,581.0238536921183,21
red,23,1718712584,570.8450942964034,21
red,24,1718712588,560.9031439667997,21
red,25,1718712592,550.7935130783857,21
red,26,1718712596,540.9248490039176,21
red,27,1718712600,531.0794003807171,21
red,28,1718712604,521.0602736309181,21
red,29,1718712608,511.29794606816967,21
red,30,1718712612,501.26438145366757,21
red,31,1718712616,491.4305834286482,21
red,32,1718712620,481.5185664180766,21
red,33,1718712624,471.29699716213435,21
red,34,1718712628,461.8545985272029,21
red,35,1718712632,451.90445368502037,21
red,36,1718712636,442.0454081864632,21
red,37,1718712640,432.2041315186357,21
red,38,1718712644,422.09963229062856,21
red,39,1718712648,412.14638552473656,21
red,40,1718712652,401.76300149166104,21
red,41,1718712656,391.91895298147796,21
red,42,1718712660,382.4672075105385,21
red,43,1718712664,372.4673751260636,21
red,44,1718712668,362.1558034830537,21
red,45,1718712672,352.71110966045353,21
red,46,1718712676,342.80273694527335,21
red,47,1718712680,332.1669580134627,21
red,48,1718712684,322.57681856866145,21
red,49,1718712688,312.87013132114544,21
red,50,1718712692,302.8932929705049,21
red,51,1718712696,293.45408328890505,21
red,52,1718712700,283.4446829064967,21
red,53,1718712704,273.28818306550784,21
red,54,1718712708,263.26935388900534,21
red,55,1718712712,253.16661177605434,21
red,56,1718712716,243.1282210779936,21
red,57,1718712720,232.9741590537843,21
red,58,1718712724,222.89096250111592,21
red,59,1718712728,212.59017288594708,21
red,60,1718712732,202.58016845372953,21
red,61,1718712736,192.12734199075769,21
red,62,1718712740,182.25852210120385,21
red,63,1718712744,171.94824965875168,21
red,64,1718712748,161.66680785040944,21
red,65,1718712752,151.80878766388443,21
red,66,1718712756,141.9086947799306,21
red,67,1718712760,131.85556150488776,21
red,68,1718712764,122.16160545202221,21
red,69,1718712768,112.19337603219057,21
red,70,1718712772,102.11378725266778,21
red,71,1718712776,92.05199124163592,21
red,72,1718712780,82.3274657804798,21
red,73,1718712784,72.5942897403414,21
red,74,1718712788,62.82647902785364,21
red,75,1718712792,53.09153426811898,21
red,76,1718712796,43.42607914455549,21
red,77,1718712800,33.509815313859136,21
red,78,1718712804,23.321615979814712,21
red,79,1718712808,13.06570370125251,21
red,80,1718712812,2.906776007186293,21
red,81,1718712816,0.0,21
red,82,1718712820,0.0,21
red,83,1718712824,0.0,21
red,84,1718712828,0.0,21
red,85,1718712832,0.0,21
red,86,1718712836,0.0,21
red,87,1718712840,0.0,21
red,88,1718712844,0.0,21
red,89,1718712848,0.0,21
red,90,1718712852,0.0,21
red,91,1718712856,0.0,21
red,92,1718712860,0.0,21
red,93,1718712864,0.0,21
red,94,1718712868,0.0,21
red,95,1718712872,0.0,21
red,96,1718712876,0.0,21
red,97,1718712880,0.0,21
red,98,1718712884,0.0,21
red,99,1718712888,0.0,21
red,100,1718712892,0.0,21
red,101,1718712896,0.0,21
red,102,1718712900,0.0,21
red,103,1718712904,0.0,21
red,104,1718712908,0.0,21
red,105,1718712912,0.0,21
red,106,1718712916,0.0,21
red,107,1718712920,0.0,21
red,108,1718712924,0.0,21
red,109,1718712928,0.0,21
red,110,1718712932,0.0,21
red,111,1718712936,0.0,21
red,112,1718712940,0.0,21
red,113,1718712944,0.0,21
red,114,1718712948,0.0,21
red,115,1718712952,0.0,21
red,116,1718712956,0.0,21
red,117,1718712960,0.0,21
red,118,1718712964,0.0,21
red,119,1718712968,0.0,21
red,120,1718712972,0.0,21
red,121,1718712976,790.2642013730718,21
red,122,1718712980,780.2046236613068,21
red,123,1718712984,770.0164619909461,21
red,124,1718712988,760.1463723494184,21
red,125,1718712992,749.2908967811685,21
red,126,1718712996,738.938721012318,21
red,127,1718713000,729.5347374199529,21
red,128,1718713004,719.2649019651998,21
red,129,1718713008,709.124659943011,21
red,130,1718713012,699.0128813001962,21
red,131,1718713016,689.3171987825184,21
red,132,1718713020,679.249168970742,21
red,133,1718713024,669.9029791022492,21
red,134,1718713028,659.3642400900475,21
red,135,1718713032,649.7401562434678,21
red,136,1718713036,640.0773806301502,21
red,137,1718713040,630.4134402632743,21
red,138,1718713044,620.3693303960569,21
red,139,1718713048,610.0687832203163,21
red,140,1718713052,600.3192316487352,21
red,141,1718713056,590.5597342245195,21
red,142,1718713060,580.3639711463092,21
red,143,1718713064,570.3617847741318,21
red,144,1718713068,559.8935918627265,21
red,145,1718713072,550.5382477937537,21
red,146,1718713076,540.4999242414563,21
red,147,1718713080,530.6601342043241,21
red,148,1718713084,520.5253950322796,21
red,149,1718713088,510.706999894564,21
red,150,1718713092,500.53780672028984,21
red,151,1718713096,490.3978239876251,21
red,152,1718713100,480.1225010801697,21
red,153,1718713104,469.89098594570345,21
red,154,1718713108,459.5882539248569,21
red,155,1718713112,449.7592963074568,21
red,156,1718713116,439.30136155007926,21
red,157,1718713120,429.3220338622496,21
red,158,1718713124,419.3926726864257,21
red,159,1718713128,409.0134500643865,21
red,160,1718713132,398.8086262897338,21
red,161,1718713136,388.37838052753824,21
red,162,1718713140,377.785340774135,21
red,163,1718713144,367.255341379051,21
red,164,1718713148,357.2703024235935,21
red,165,1718713152,346.9019384868167,21
red,166,1718713156,336.47091476047416,21
red,167,1718713160,327.0658205450106,21
red,168,1718713164,317.05152969537636,21
red,169,1718713168,307.1754516362331,21
red,170,1718713172,296.9874639451283,21
red,171,1718713176,287.28498055462427,21
red,172,1718713180,277.56386701025235,21
red,173,1718713184,267.44946558135587,21
red,174,1718713188,257.74038662491193,21
red,175,1718713192,247.620555869086,21
red,176,1718713196,237.4392173924268,21
red,177,1718713200,227.31642100824828,21
red,178,1718713204,217.43581093579053,21
red,179,1718713208,207.51830462694437,21
red,180,1718713212,197.36301756252368,21
red,181,1718713216,187.8101793707638,21
red,182,1718713220,177.61531253842742,21
red,183,1718713224,167.77462100366262,21
red,184,1718713228,157.52693075206543,21
red,185,1718713232,147.63094204638674,21
red,186,1718713236,137.4513165798717,21
red,187,1718713240,127.6691506351372,21
red,188,1718713244,117.38547100348974,21
red,189,1718713248,106.58600706802191,21
red,190,1718713252,96.25605530112291,21
red,191,1718713256,86.61292356270826,21
red,192,1718713260,76.76746726515925,21
red,193,1718713264,67.11432008413408,21
red,194,1718713268,57.364577509307026,21
red,195,1718713272,47.36736374610145,21
red,196,1718713276,37.05142288799199,21
red,197,1718713280,27.080320994877873,21
red,198,1718713284,16.890166072336655,21
red,199,1718713288,6.9139116792323705,21
red,200,1718713292,0.0,21
red,201,1718713296,0.0,21
red,202,1718713300,0.0,21
red,203,1718713304,0.0,21
red,204,1718713308,0.0,21
red,205,1718713312,0.0,21
red,206,1718713316,0.0,21
red,207,1718713320,0.0,21
red,208,1718713324,0.0,21
red,209,1718713328,0.0,21
red,210,1718713332,0.0,21
red,211,1718713336,789.7803680076353,21
red,212,1718713340,779.9935911768298,21
red,213,1718713344,770.0562144357974,21
red,214,1718713348,759.787307429264,21
red,215,1718713352,749.8241012776806,21
red,216,1718713356,739.4262520170608,21
red,217,1718713360,729.736119882388,21
red,218,1718713364,719.7145035969653,21
red,219,1718713368,709.5722848699547,21
red,220,1718713372,699.455513663579,21
red,221,1718713376,689.4342321893083,21
red,222,1718713380,679.5477471283441,21
red,223,1718713384,669.8761686241804,21
red,224,1718713388,660.6887998021889,21
red,225,1718713392,650.548505142777,21
red,226,1718713396,640.1768114481398,21
red,227,1718713400,630.0949086378946,21
red,228,1718713404,620.282088500279,21
red,229,1718713408,610.1541091965923,21
red,230,1718713412,599.9945430567817,21
red,231,1718713416,589.6801966099113,21
red,232,1718713420,580.4705160292549,21
red,233,1718713424,570.2563732385752,21
red,234,1718713428,560.5437636438811,21
red,235,1718713432,550.3314229278549,21
red,236,1718713436,539.7733518228724,21
red,237,1718713440,529.6117653820869,21
red,238,1718713444,519.2697516607187,21
red,239,1718713448,509.7151688976751,21
red,240,1718713452,500.11957687444175,21
red,241,1718713456,490.1317251949525,21
red,242,1718713460,480.0466563819748,21
red,243,1718713464,470.16539150354293,21
