dispenser,bottle,time,vibration-index
blue,1272,1718711814,-3.570579204187723
blue,1273,1718711818,0.9870824143911889
blue,1274,1718711822,-2.5546654711742747
blue,1275,1718711826,-2.2847684758100115
blue,1276,1718711830,0.6523022837741053
blue,1277,1718711834,-4.700034968263893
blue,1278,1718711838,0.1421656595230445
blue,1279,1718711842,-3.474230849880918
blue,1280,1718711846,-0.8570593268131574
blue,1281,1718711850,-0.2647659857574425
blue,1282,1718711854,-3.2343508597540094
blue,1283,1718711858,199.696349663179
blue,1284,1718711862,198.6993428435024
blue,1285,1718711866,195.31827788404726
blue,1286,1718711870,195.75421420009468
blue,1287,1718711874,199.98052256741485
blue,1288,1718711878,198.72277208624237
blue,1289,1718711882,193.03805207522674
blue,1290,1718711886,203.082701482307
blue,1291,1718711890,197.1151164436023
blue,1292,1718711894,201.62139622056569
blue,1293,1718711898,196.7673222693612
blue,1294,1718711902,191.97058038820862
blue,1295,1718711906,194.16092644699881
blue,1296,1718711910,195.13355455718698
blue,1297,1718711914,203.6196638156627
blue,1298,1718711918,197.38201639899418
blue,1299,1718711922,200.64405422868322
blue,1300,1718711926,201.99898182230808
blue,1301,1718711930,198.6379341693492
blue,1302,1718711934,190.53815252332632
blue,1303,1718711938,202.57974652923423
blue,1304,1718711942,199.25848021316293
blue,1305,1718711946,199.872502304438
blue,1306,1718711950,198.89647696494595
blue,1307,1718711954,199.33221557064235
blue,1308,1718711958,197.00725542477045
blue,1309,1718711962,195.71387240912105
blue,1310,1718711966,193.77122745144652
blue,1311,1718711970,206.67551998973883
blue,1312,1718711974,200.1312315906681
blue,1313,1718711978,199.51265342834196
blue,1314,1718711982,202.39486021662498
blue,1315,1718711986,202.6645710086767
blue,1316,1718711990,198.41502794804356
blue,1317,1718711994,196.81635854577397
blue,1318,1718711998,203.3180859192668
blue,1319,1718712002,200.4134744471198
blue,1320,1718712006,199.2514199560463
blue,1321,1718712010,197.69445222474693
blue,1322,1718712014,-0.05283846485060906
blue,1323,1718712018,1.6389607230185703
blue,1324,1718712022,-1.0136090202725399
blue,1325,1718712026,2.8838370544526413
blue,1326,1718712030,0.4651294160123314
blue,1327,1718712034,-2.909339675270971
blue,1328,1718712038,-0.3031716020594999
blue,1329,1718712042,-0.3434748674225645
blue,1330,1718712046,-0.8569113303210258
blue,1331,1718712050,5.61493673142806
blue,1332,1718712054,0.6879707344778012
blue,1333,1718712058,-2.8887005054605837
blue,1334,1718712062,-0.01442112991036737
blue,1335,1718712066,-0.117812139789919
blue,1336,1718712070,-2.8361049331205237
blue,1337,1718712074,-1.3249550285301197
blue,1338,1718712078,2.1711969286858164
blue,1339,1718712082,1.7424780476145614
blue,1340,1718712086,0.5848094145124847
blue,1341,1718712090,1.6630755958610948
blue,1342,1718712094,3.695750937324668
blue,1343,1718712098,1.6839657230351648
blue,1344,1718712102,3.028776355098586
blue,1345,1718712106,2.827058325889176
blue,1346,1718712110,1.4135735301413987
blue,1347,1718712114,0.6642700066964835
blue,1348,1718712118,3.9961783058915827
blue,1349,1718712122,2.0842738835132266
blue,1350,1718712126,1.0450598714978128
blue,1351,1718712130,-3.113757087779746
blue,1352,1718712134,1.2201139570584019
blue,1353,1718712138,-2.0749047290815383
blue,1354,1718712142,2.140331234906945
blue,1355,1718712146,1.7254510783832302
blue,1356,1718712150,0.06360113193277783
blue,1357,1718712154,0.46642060447999256
blue,1358,1718712158,3.1655788929328708
blue,1359,1718712162,1.5705340734802675
blue,1360,1718712166,1.36517647732326
blue,1361,1718712170,3.3504284505955297
blue,1362,1718712174,1.0947043876614941
blue,1363,1718712178,-3.5290138273227996
blue,1364,1718712182,0.3970398130977131
blue,1365,1718712186,-1.6929028908511228
blue,1366,1718712190,1.0868029245284987
blue,1367,1718712194,2.0288751450381426
blue,1368,1718712198,0.29840894974093857
blue,1369,1718712202,-2.587734865673305
blue,1370,1718712206,-3.0072966794337717
blue,1371,1718712210,3.415638692744139
blue,1372,1718712214,-1.948868844931276
blue,1373,1718712218,199.99504681021884
blue,1374,1718712222,194.41546260327485
blue,1375,1718712226,199.35784041188202
blue,1376,1718712230,191.82161930381918
blue,1377,1718712234,187.38852618111224
blue,1378,1718712238,196.07347222898483
blue,1379,1718712242,192.27144574284662
blue,1380,1718712246,198.50454715875634
blue,1381,1718712250,193.5614834247855
blue,1382,1718712254,196.2766525605414
blue,1383,1718712258,208.05018620900074
blue,1384,1718712262,200.44923986386155
blue,1385,1718712266,197.66972739004763
blue,1386,1718712270,196.23071233177603
blue,1387,1718712274,200.267590716052
blue,1388,1718712278,203.4600591058631
blue,1389,1718712282,204.60180585478577
blue,1390,1718712286,198.3416135240842
blue,1391,1718712290,200.19363770242862
blue,1392,1718712294,202.8276368466771
blue,1393,1718712298,200.4094517609067
blue,1394,1718712302,198.60288168480471
blue,1,1718712500,199.96509286672529
blue,2,1718712504,204.0361015883322
blue,3,1718712508,195.68156535522544
blue,4,1718712512,200.73749809565476
blue,5,1718712516,196.04272104785682
blue,6,1718712520,198.9607765538046
blue,7,1718712524,199.92540663951092
blue,8,1718712528,201.36578519554482
blue,9,1718712532,195.07868720741516
blue,10,1718712536,195.75800740258666
blue,11,1718712540,196.5442454653987
blue,12,1718712544,196.34160573063232
blue,13,1718712548,197.7370009994052
blue,14,1718712552,204.50929979491613
blue,15,1718712556,194.6431139639816
blue,16,1718712560,198.6459118996722
blue,17,1718712564,194.544524751649
blue,18,1718712568,204.5677151854137
blue,19,1718712572,198.3457760154871
blue,20,1718712576,198.64757848301144
blue,21,1718712580,198.33035386386499
blue,22,1718712584,201.30263917190183
blue,23,1718712588,193.84868278637921
blue,24,1718712592,194.5608373542853
blue,25,1718712596,197.13407865992534
blue,26,1718712600,191.3248339104668
blue,27,1718712604,193.12016474486188
blue,28,1718712608,193.66374680490355
blue,29,1718712612,201.73553061593458
blue,30,1718712616,197.50651805832408
blue,31,1718712620,204.78878883829913
blue,32,1718712624,199.20818519837468
blue,33,1718712628,195.06873261011017
blue,34,1718712632,200.44833827973065
blue,35,1718712636,195.52451902482662
blue,36,1718712640,204.48855956661524
blue,37,1718712644,202.48096067153884
blue,38,1718712648,200.34831876180306
blue,39,1718712652,195.8588296969436
blue,40,1718712656,203.62568115399137
blue,41,1718712660,-0.5535807169035252
blue,42,1718712664,0.8935159040937393
blue,43,1718712668,3.0413213950311473
blue,44,1718712672,2.1161359021704627
blue,45,1718712676,-1.5290688538537438
blue,46,1718712680,-2.058554325645261
blue,47,1718712684,1.7781479815734258
blue,48,1718712688,0.6818672244473944
